phase,receiver_id,transmitters,selected_pair,best_sigma,second_sigma,relative_selection_gap,own_block_identity_error
10,9,0-1-3-6,3-6,0.007071067811865473,0.006569541801853661,0.07092648852415695,8.456239969329286e-16
11,2,0-1-3-7,1-3,0.007071067811865471,0.006218192675908017,0.12061475842818295,1.5784890630270158e-15
11,4,0-1-3-7,1-7,0.007071067811865476,0.00656954180185366,0.07092648852415753,5.875999916553826e-16
11,5,0-1-3-7,3-7,0.007071067811865475,0.006019996690288542,0.14864390351527992,2.5077498619178756e-16
11,6,0-1-3-7,3-7,0.00656954180185366,0.005777158104439241,0.12061475842818137,1.2690683934521977e-15
11,8,0-1-3-7,1-7,0.006879094501123398,0.006218192675908026,0.09607395640624543,8.386365174190031e-16
11,9,0-1-3-7,1-7,0.006879094501123398,0.006845687652806595,0.004856285709019881,7.600836789487769e-16
12,2,0-1-3-8,1-3,0.007071067811865471,0.006569541801853657,0.07092648852415721,1.5784890630270158e-15
12,4,0-1-3-8,3-8,0.006218192675908027,0.005105851043008835,0.17888503796430838,4.693710166863231e-16
12,5,0-1-3-8,3-8,0.006845687652806597,0.004615311732486029,0.32580743285974456,8.759148409537851e-16
12,6,0-1-3-8,3-8,0.006845687652806597,0.004615311732486029,0.32580743285974456,1.271876336625028e-16
12,7,0-1-3-8,3-8,0.006218192675908032,0.005105851043008839,0.17888503796430835,3.607225987896493e-16
12,9,0-1-3-8,1-8,0.007071067811865475,0.006569541801853658,0.07092648852415767,9.021890723263312e-16
13,2,0-1-3-9,1-3,0.007071067811865471,0.006879094501123396,0.027149125966510736,1.5784890630270158e-15
13,4,0-1-3-9,3-9,0.005777158104439235,0.005105851043008835,0.11620022324030911,7.088068481635286e-16
13,5,0-1-3-9,3-9,0.006019996690288537,0.004615311732486029,0.23333650001312242,7.130492646523718e-16
13,6,0-1-3-9,3-9,0.0070710678118654745,0.004468205281232852,0.368100349181341,5.419691462708943e-16
13,7,0-1-3-9,3-9,0.00601999669028854,0.004468205281232846,0.2577728010314431,3.853755633493394e-16
13,8,0-1-3-9,3-9,0.005777158104439234,0.004615311732486021,0.20111036446456904,8.979714757438412e-16
14,2,0-1-4-5,1-4,0.006879094501123397,0.006569541801853657,0.04499904736287426,7.253859300250428e-16
14,3,0-1-4-5,1-5,0.0070710678118654745,0.0068790945011233985,0.027149125966510843,3.396862205205276e-16
14,6,0-1-4-5,1-5,0.006218192675908027,0.006019996690288536,0.031873567763087765,1.8724254621096337e-15
14,7,0-1-4-5,1-4,0.007071067811865474,0.006845687652806596,0.03187356776308706,5.576882169957362e-16
14,8,0-1-4-5,1-5,0.006845687652806598,0.006019996690288539,0.12061475842818252,4.7194778489729535e-16
14,9,0-1-4-5,1-5,0.006218192675908026,0.005777158104439242,0.07092648852415634,8.475871036264302e-16
15,2,0-1-4-6,1-4,0.006879094501123397,0.006218192675908031,0.09607395640624455,7.253859300250428e-16
15,3,0-1-4-6,1-4,0.0068790945011233985,0.006845687652806597,0.0048562857090197545,1.5201379116113658e-15
15,5,0-1-4-6,4-6,0.007071067811865476,0.00621819267590803,0.12061475842818176,1.3927135368816416e-15
15,7,0-1-4-6,1-4,0.007071067811865474,0.00656954180185366,0.0709264885241572,5.576882169957362e-16
15,8,0-1-4-6,1-6,0.007071067811865476,0.006019996690288539,0.1486439035152805,2.688744418263445e-16
15,9,0-1-4-6,1-6,0.006569541801853661,0.005777158104439242,0.12061475842818135,3.197571041329699e-16
16,2,0-1-4-7,1-4,0.006879094501123397,0.00601999669028853,0.12488530440955144,7.253859300250428e-16
16,3,0-1-4-7,1-4,0.0068790945011233985,0.006019996690288546,0.12488530440954938,1.5201379116113658e-15
16,5,0-1-4-7,4-7,0.0068790945011234,0.006019996690288542,0.1248853044095501,6.638154854810661e-16
16,6,0-1-4-7,4-7,0.0068790945011233985,0.006019996690288536,0.12488530440955077,3.4671189582828006e-16
16,8,0-1-4-7,1-7,0.006879094501123398,0.006019996690288539,0.12488530440955029,8.386365174190031e-16
16,9,0-1-4-7,1-7,0.006879094501123398,0.006019996690288544,0.12488530440954952,7.600836789487769e-16
17,2,0-1-4-8,1-4,0.006879094501123397,0.006845687652806596,0.00485628570901963,7.253859300250428e-16
17,3,0-1-4-8,1-4,0.0068790945011233985,0.006218192675908023,0.09607395640624591,1.5201379116113658e-15
17,5,0-1-4-8,4-8,0.00656954180185366,0.005777158104439242,0.12061475842818124,3.8164328527701903e-16
17,6,0-1-4-8,4-8,0.007071067811865477,0.006019996690288536,0.14864390351528098,2.528823265709909e-16
17,7,0-1-4-8,1-4,0.007071067811865474,0.006569541801853662,0.07092648852415682,5.576882169957362e-16
17,9,0-1-4-8,1-8,0.007071067811865475,0.006218192675908032,0.1206147584281814,9.021890723263312e-16
18,2,0-1-4-9,4-9,0.007071067811865475,0.006879094501123397,0.027149125966511208,6.523222163840732e-16
18,3,0-1-4-9,1-4,0.0068790945011233985,0.006569541801853657,0.0449990473628745,1.5201379116113658e-15
18,5,0-1-4-9,4-9,0.0062181926759080275,0.005777158104439242,0.0709264885241566,9.156145126747308e-16
18,6,0-1-4-9,4-9,0.006845687652806599,0.006019996690288536,0.120614758428183,4.649309869638077e-16
18,7,0-1-4-9,1-4,0.007071067811865474,0.006845687652806603,0.03187356776308608,5.576882169957362e-16
18,8,0-1-4-9,4-9,0.0062181926759080275,0.006019996690288539,0.03187356776308748,1.8348416524554993e-15
19,2,0-1-5-6,1-5,0.006569541801853657,0.006218192675908031,0.0534815268009239,1.3186852378521956e-16
19,3,0-1-5-6,1-5,0.0070710678118654745,0.006845687652806597,0.03187356776308705,3.396862205205276e-16
19,4,0-1-5-6,1-6,0.006845687652806598,0.006569541801853661,0.04033865770076776,1.5182707870966061e-16
19,7,0-1-5-6,1-5,0.006845687652806596,0.00656954180185366,0.04033865770076752,5.112547440793773e-16
19,8,0-1-5-6,1-6,0.007071067811865476,0.006845687652806598,0.03187356776308704,2.688744418263445e-16
19,9,0-1-5-6,1-6,0.006569541801853661,0.006218192675908026,0.05348152680092519,3.197571041329699e-16
20,2,0-1-5-7,1-5,0.006569541801853657,0.005777158104439228,0.120614758428183,1.3186852378521956e-16
20,3,0-1-5-7,1-5,0.0070710678118654745,0.006019996690288546,0.1486439035152793,3.396862205205276e-16
20,4,0-1-5-7,1-7,0.007071067811865476,0.006569541801853661,0.07092648852415741,5.875999916553826e-16
20,6,0-1-5-7,5-7,0.0070710678118654745,0.006218192675908027,0.12061475842818203,7.510145467552933e-16
20,8,0-1-5-7,1-7,0.006879094501123398,0.006845687652806598,0.004856285709019376,8.386365174190031e-16
20,9,0-1-5-7,1-7,0.006879094501123398,0.006218192675908026,0.09607395640624543,7.600836789487769e-16
21,2,0-1-5-8,5-8,0.0070710678118654745,0.006569541801853657,0.07092648852415767,6.261241564528115e-16
21,3,0-1-5-8,1-5,0.0070710678118654745,0.006019996690288534,0.14864390351528092,3.396862205205276e-16
21,4,0-1-5-8,1-5,0.006569541801853661,0.00577715810443924,0.12061475842818162,1.5391587993083762e-15
21,6,0-1-5-8,5-8,0.006879094501123398,0.006218192675908027,0.0960739564062453,7.425879243128278e-16
21,7,0-1-5-8,5-8,0.0068790945011233985,0.006845687652806596,0.00485628570901988,8.908293735513513e-16
21,9,0-1-5-8,1-8,0.007071067811865475,0.006218192675908026,0.12061475842818226,9.021890723263312e-16
22,2,0-1-5-9,5-9,0.006845687652806596,0.006569541801853657,0.0403386577007679,3.3679330126710353e-16
22,3,0-1-5-9,1-5,0.0070710678118654745,0.006845687652806592,0.03187356776308767,3.396862205205276e-16
22,4,0-1-5-9,1-5,0.006569541801853661,0.006218192675908024,0.05348152680092546,1.5391587993083762e-15
22,6,0-1-5-9,5-9,0.00656954180185366,0.006218192675908027,0.05348152680092493,2.5229461868436146e-16
22,7,0-1-5-9,5-9,0.007071067811865479,0.006845687652806596,0.03187356776308777,7.174033728618735e-16
22,8,0-1-5-9,1-5,0.006845687652806598,0.006569541801853661,0.04033865770076776,4.7194778489729535e-16
23,2,0-1-6-7,1-6,0.006218192675908031,0.005777158104439228,0.07092648852415935,5.257939964054681e-16
23,3,0-1-6-7,1-6,0.006845687652806597,0.006019996690288546,0.12061475842818128,3.3357407489593955e-16
23,4,0-1-6-7,1-7,0.007071067811865476,0.006845687652806598,0.03187356776308704,5.875999916553826e-16
23,5,0-1-6-7,1-6,0.00621819267590803,0.006019996690288542,0.03187356776308733,1.3519608800469114e-15
23,8,0-1-6-7,1-6,0.007071067811865476,0.006879094501123398,0.027149125966511204,2.688744418263445e-16
23,9,0-1-6-7,1-7,0.006879094501123398,0.006569541801853661,0.04499904736287388,7.600836789487769e-16
24,2,0-1-6-8,1-6,0.006218192675908031,0.005105851043008836,0.1788850379643088,5.257939964054681e-16
24,3,0-1-6-8,1-6,0.006845687652806597,0.004615311732486024,0.32580743285974534,3.3357407489593955e-16
24,4,0-1-6-8,1-6,0.006845687652806598,0.004615311732486028,0.3258074328597449,1.5182707870966061e-16
24,5,0-1-6-8,1-6,0.00621819267590803,0.005105851043008838,0.1788850379643084,1.3519608800469114e-15
24,7,0-1-6-8,6-8,0.007071067811865479,0.00656954180185366,0.07092648852415788,3.5405128049736164e-16
24,9,0-1-6-8,1-8,0.007071067811865475,0.006569541801853661,0.0709264885241573,9.021890723263312e-16
25,2,0-1-6-9,1-6,0.006218192675908031,0.006019996690288541,0.0318735677630876,5.257939964054681e-16
25,3,0-1-6-9,6-9,0.007071067811865469,0.006845687652806597,0.03187356776308634,9.22312993268782e-16
25,4,0-1-6-9,1-6,0.006845687652806598,0.006019996690288535,0.12061475842818302,1.5182707870966061e-16
25,5,0-1-6-9,1-6,0.00621819267590803,0.005777158104439235,0.07092648852415812,1.3519608800469114e-15
25,7,0-1-6-9,6-9,0.006879094501123402,0.00656954180185366,0.044999047362874606,6.907366729465551e-16
25,8,0-1-6-9,1-6,0.007071067811865476,0.006879094501123394,0.027149125966511697,2.688744418263445e-16
26,2,0-1-7-8,1-7,0.005777158104439228,0.005105851043008836,0.1162002232403079,5.729878868244106e-16
26,3,0-1-7-8,1-7,0.006019996690288546,0.004615311732486024,0.2333365000131244,1.8825124715603894e-16
26,4,0-1-7-8,1-7,0.007071067811865476,0.004468205281232853,0.36810034918134105,5.875999916553826e-16
26,5,0-1-7-8,1-7,0.006019996690288542,0.0044682052812328584,0.25777280103144135,2.257856850699595e-16
26,6,0-1-7-8,1-7,0.005777158104439241,0.004615311732486029,0.20111036446456865,7.416884282763896e-16
26,9,0-1-7-8,1-8,0.007071067811865475,0.006879094501123398,0.027149125966511086,9.021890723263312e-16
27,2,0-1-7-9,1-7,0.005777158104439228,0.0046153117324860184,0.20111036446456865,5.729878868244106e-16
27,3,0-1-7-9,1-7,0.006019996690288546,0.004468205281232857,0.25777280103144207,1.8825124715603894e-16
27,4,0-1-7-9,1-7,0.007071067811865476,0.004468205281232855,0.3681003491813408,5.875999916553826e-16
27,5,0-1-7-9,1-7,0.006019996690288542,0.004615311732486027,0.23333650001312337,2.257856850699595e-16
27,6,0-1-7-9,1-7,0.005777158104439241,0.005105851043008837,0.11620022324030974,7.416884282763896e-16
27,8,0-1-7-9,7-9,0.007071067811865471,0.006879094501123398,0.02714912596651049,9.705927578887226e-16
28,2,0-1-8-9,1-8,0.005105851043008836,0.003762436596528566,0.26311273775206073,2.7185292455172327e-16
28,3,0-1-8-9,1-8,0.004615311732486024,0.0027167665947714814,0.41135794237931067,2.65994055275058e-16
28,4,0-1-8-9,1-8,0.004468205281232853,0.0022815779239972237,0.48937486521037865,2.9878035979535487e-16
28,5,0-1-8-9,1-8,0.0044682052812328584,0.0022815779239972263,0.48937486521037865,4.113415239268253e-16
28,6,0-1-8-9,1-8,0.004615311732486029,0.0027167665947714745,0.41135794237931284,9.217342392142807e-16
28,7,0-1-8-9,1-8,0.005105851043008839,0.0037624365965285645,0.26311273775206157,4.822787918153459e-16
